Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIPO,PIPO01,1.0,587,140.6,10,alive
PIPO,PIPO01,1.5,NA,NA,10,alive
PIPO,PIPO01,10.0,480,213.2,25,alive
PIPO,PIPO01,10.5,NA,NA,25,alive
PIPO,PIPO01,11.0,489,147,25,alive
PIPO,PIPO01,11.5,NA,NA,25,alive
PIPO,PIPO01,12.0,409,149.9,25,alive
PIPO,PIPO01,12.5,NA,NA,25,alive
PIPO,PIPO01,13.0,443,96.5,10,alive
PIPO,PIPO01,13.5,NA,NA,10,alive
PIPO,PIPO01,14.0,357,226.1,10,alive
PIPO,PIPO01,14.5,NA,NA,10,alive
PIPO,PIPO01,15.0,426,120,10,alive
PIPO,PIPO01,15.5,NA,NA,10,alive
PIPO,PIPO01,16.0,339,86.8,25,alive
PIPO,PIPO01,2.0,583,218.4,10,alive
PIPO,PIPO01,2.5,NA,NA,10,alive
PIPO,PIPO01,3.0,533,244.3,25,alive
PIPO,PIPO01,3.5,NA,NA,10,alive
PIPO,PIPO01,4.0,465,NA,10,alive
PIPO,PIPO01,4.5,NA,NA,10,alive
PIPO,PIPO01,5.0,499,234.8,10,alive
PIPO,PIPO01,5.5,NA,NA,25,alive
PIPO,PIPO01,6.0,449,142.3,10,alive
PIPO,PIPO01,6.5,NA,NA,25,alive
PIPO,PIPO01,7.0,522,117.9,10,alive
PIPO,PIPO01,7.5,NA,NA,25,alive
PIPO,PIPO01,8.0,425,152.9,25,alive
PIPO,PIPO01,8.5,NA,NA,25,alive
PIPO,PIPO01,9.0,485,87.3,25,alive
PIPO,PIPO01,9.5,NA,NA,NA,alive
PIPO,PIPO02,1.0,739,85.4,25,alive
PIPO,PIPO02,1.5,NA,NA,25,alive
PIPO,PIPO02,10.0,582,48,10,alive
PIPO,PIPO02,10.5,NA,NA,10,alive
PIPO,PIPO02,11.0,596,59.4,10,alive
PIPO,PIPO02,11.5,NA,NA,10,alive
PIPO,PIPO02,12.0,510,51.2,10,alive
PIPO,PIPO02,12.5,NA,NA,10,alive
PIPO,PIPO02,13.0,539,41.3,10,alive
PIPO,PIPO02,13.5,NA,NA,10,alive
PIPO,PIPO02,14.0,466,62,10,alive
PIPO,PIPO02,14.5,NA,NA,10,alive
PIPO,PIPO02,15.0,543,53.2,10,alive
PIPO,PIPO02,15.5,NA,NA,10,alive
PIPO,PIPO02,16.0,472,60.8,10,alive
PIPO,PIPO02,2.0,733,105.5,25,alive
PIPO,PIPO02,2.5,NA,NA,25,alive
PIPO,PIPO02,3.0,697,110.5,25,alive
PIPO,PIPO02,3.5,NA,NA,25,alive
PIPO,PIPO02,4.0,651,NA,25,alive
PIPO,PIPO02,4.5,NA,NA,25,alive
PIPO,PIPO02,5.0,671,119.4,25,alive
PIPO,PIPO02,5.5,NA,NA,25,alive
PIPO,PIPO02,6.0,625,72.1,10,alive
PIPO,PIPO02,6.5,NA,NA,25,alive
PIPO,PIPO02,7.0,663,62.1,10,alive
PIPO,PIPO02,7.5,NA,NA,25,alive
PIPO,PIPO02,8.0,574,89.8,25,alive
PIPO,PIPO02,8.5,NA,NA,25,alive
PIPO,PIPO02,9.0,610,81,25,alive
PIPO,PIPO02,9.5,NA,NA,NA,alive
PIPO,PIPO03,1.0,756,NA,10,alive
PIPO,PIPO03,1.5,NA,NA,10,alive
PIPO,PIPO03,10.0,624,NA,10,alive
PIPO,PIPO03,10.5,NA,NA,25,alive
PIPO,PIPO03,11.0,632,NA,25,alive
PIPO,PIPO03,11.5,NA,NA,25,alive
PIPO,PIPO03,12.0,546,NA,25,alive
PIPO,PIPO03,12.5,NA,NA,25,alive
PIPO,PIPO03,13.0,581,NA,75,alive
PIPO,PIPO03,13.5,NA,NA,90,dead
